Read_Length,QV,Read_Numbers
9500,64,14
9500,65,15
9500,66,12
9500,67,18
9500,68,17
9500,69,24
9500,70,23
9500,71,18
9500,72,24
9500,73,21
9500,74,21
9500,75,29
9500,76,20
9500,77,25
9500,78,23
9500,79,21
9500,80,29
9500,81,34
9500,82,28
9500,83,41
9500,84,36
9500,85,28
9500,86,32
9500,87,43
9500,88,60
9500,89,86
9500,90,110
9500,91,147
9500,92,369
9500,93,414
9600,41,3
9600,42,6
9600,43,5
9600,44,19
9600,45,18
9600,46,17
9600,47,22
9600,48,25
9600,49,34
9600,50,35
9600,51,45
9600,52,22
9600,53,35
9600,54,25
9600,55,30
9600,56,26
9600,57,28
9600,58,25
9600,59,17
9600,60,24
9600,61,25
9600,62,21
9600,63,17
9600,64,37
9600,65,24
9600,66,23
9600,67,17
9600,68,19
9600,69,22
9600,70,18
9600,71,22
9600,72,20
9600,73,25
9600,74,25
9600,75,23
9600,76,33
9600,77,23
9600,78,29
9600,79,31
9600,80,36
9600,81,37
9600,82,45
9600,83,53
9600,84,40
9600,85,40
9600,86,51
9600,87,74
9600,88,88
9600,89,100
9600,90,105
9600,91,216
9600,92,431
9600,93,469
9700,41,1
9700,42,2
9700,43,10
9700,44,21
9700,45,21
9700,46,34
9700,47,37
9700,48,30
9700,49,27
9700,50,41
9700,51,45
9700,52,41
9700,53,42
9700,54,39
9700,55,52
9700,56,39
9700,57,51
9700,58,35
9700,59,26
9700,60,27
9700,61,26
9700,62,28
9700,63,30
9700,64,25
9700,65,18
9700,66,30
9700,67,35
9700,68,30
9700,69,22
9700,70,28
9700,71,32
9700,72,32
9700,73,24
9700,74,35
9700,75,31
9700,76,36
9700,77,37
9700,78,36
9700,79,36
9700,80,40
9700,81,53
9700,82,41
9700,83,46
9700,84,41
9700,85,65
9700,86,78
9700,87,108
9700,88,107
9700,89,122
9700,90,158
9700,91,247
9700,92,599
9700,93,568
9800,41,4
9800,42,4
9800,43,14
9800,44,16
9800,45,32
9800,46,27
9800,47,43
9800,48,34
9800,49,50
9800,50,55
9800,51,59
9800,52,53
9800,53,37
9800,54,42
9800,55,49
9800,56,35
9800,57,37
9800,58,33
9800,59,34
9800,60,28
9800,61,35
9800,62,33
9800,63,40
9800,64,25
9800,65,43
9800,66,30
9800,67,26
9800,68,45
9800,69,29
9800,70,26
9800,71,33
9800,72,33
9800,73,34
9800,74,36
9800,75,47
9800,76,43
9800,77,46
9800,78,42
9800,79,53
9800,80,47
9800,81,41
9800,82,58
9800,83,63
9800,84,64
9800,85,82
9800,86,88
9800,87,113
9800,88,119
9800,89,143
9800,90,194
9800,91,302
9800,92,715
9800,93,677
9900,41,4
9900,42,10
9900,43,15
9900,44,28
9900,45,33
9900,46,36
9900,47,40
9900,48,52
9900,49,60
9900,50,49
9900,51,50
9900,52,69
9900,53,73
9900,54,56
9900,55,68
9900,56,48
9900,57,55
9900,58,56
9900,59,58
9900,60,46
9900,61,53
9900,62,41
9900,63,39
9900,64,41
9900,65,46
9900,66,57
9900,67,37
9900,68,38
9900,69,40
9900,70,39
9900,71,36
9900,72,51
9900,73,41
9900,74,50
9900,75,46
9900,76,43
9900,77,63
9900,78,65
9900,79,54
9900,80,60
9900,81,70
9900,82,71
9900,83,72
9900,84,89
9900,85,100
9900,86,120
9900,87,123
9900,88,152
9900,89,189
9900,90,228
9900,91,375
9900,92,946
9900,93,812
10000,41,4
10000,42,13
10000,43,13
10000,44,27
10000,45,33
10000,46,35
10000,47,48
10000,48,60
10000,49,65
10000,50,68
10000,51,70
10000,52,67
10000,53,62
10000,54,60
10000,55,57
10000,56,69
10000,57,59
10000,58,49
10000,59,53
10000,60,56
10000,61,58
10000,62,50
10000,63,55
10000,64,56
10000,65,49
10000,66,56
10000,67,52
10000,68,46
10000,69,49
10000,70,54
10000,71,47
10000,72,56
10000,73,64
10000,74,52
10000,75,48
10000,76,52
10000,77,68
10000,78,67
10000,79,83
10000,80,87
10000,81,81
10000,82,118
10000,83,107
10000,84,126
10000,85,130
10000,86,112
10000,87,146
10000,88,170
10000,89,245
10000,90,339
10000,91,498
10000,92,1089
10000,93,932
10100,41,1
10100,42,9
10100,43,18
10100,44,37
10100,45,33
10100,46,43
10100,47,55
10100,48,74
10100,49,73
10100,50,76
10100,51,61
10100,52,91
10100,53,75
10100,54,70
10100,55,77
10100,56,70
10100,57,68
10100,58,79
10100,59,77
10100,60,66
10100,61,72
10100,62,56
10100,63,75
10100,64,58
10100,65,53
10100,66,62
10100,67,65
10100,68,63
10100,69,55
10100,70,64
10100,71,48
10100,72,61
10100,73,86
10100,74,61
10100,75,86
10100,76,75
10100,77,70
10100,78,88
10100,79,89
10100,80,83
10100,81,107
10100,82,132
10100,83,113
10100,84,129
10100,85,155
10100,86,174
10100,87,186
10100,88,220
10100,89,293
10100,90,364
10100,91,608
10100,92,1309
10100,93,1133
10200,40,2
10200,41,4
10200,42,10
10200,43,35
10200,44,34
10200,45,49
10200,46,55
10200,47,73
10200,48,82
10200,49,74
10200,50,75
10200,51,88
10200,52,92
10200,53,106
10200,54,78
10200,55,92
10200,56,76
10200,57,97
10200,58,82
10200,59,95
10200,60,83
10200,61,73
10200,62,76
10200,63,67
10200,64,64
10200,65,87
10200,66,78
10200,67,80
10200,68,74
10200,69,83
10200,70,82
10200,71,74
10200,72,80
10200,73,71
10200,74,87
10200,75,100
10200,76,76
10200,77,90
10200,78,106
10200,79,100
10200,80,126
10200,81,138
10200,82,146
10200,83,149
10200,84,141
10200,85,195
10200,86,208
10200,87,246
10200,88,294
10200,89,321
10200,90,510
10200,91,768
10200,92,1683
