Read_Length,QV,Read_Numbers
6800,20,2841
6800,21,3121
6800,22,3210
6800,23,2952
6800,24,1921
6800,25,928
6800,26,416
6800,27,114
6800,28,22
6800,29,7
6800,30,1
6900,10,11
6900,11,197
6900,12,459
6900,13,658
6900,14,918
6900,15,1081
6900,16,1301
6900,17,1640
6900,18,1829
6900,19,2225
6900,20,2672
6900,21,3070
6900,22,3174
6900,23,2681
6900,24,1954
6900,25,960
6900,26,403
6900,27,107
6900,28,28
6900,29,6
6900,30,1
7000,10,4
7000,11,213
7000,12,447
7000,13,635
7000,14,864
7000,15,1093
7000,16,1405
7000,17,1560
7000,18,1756
7000,19,2231
7000,20,2561
7000,21,2923
7000,22,3130
7000,23,2694
7000,24,1821
7000,25,976
7000,26,364
7000,27,101
7000,28,20
7000,29,8
7100,10,7
7100,11,194
7100,12,421
7100,13,676
7100,14,860
7100,15,1095
7100,16,1298
7100,17,1568
7100,18,1707
7100,19,2096
7100,20,2641
7100,21,3050
7100,22,3122
7100,23,2752
7100,24,1821
7100,25,879
7100,26,346
7100,27,85
7100,28,20
7100,29,4
7100,30,3
7200,9,2
7200,10,7
7200,11,180
7200,12,478
7200,13,634
7200,14,855
7200,15,1103
7200,16,1315
7200,17,1523
7200,18,1674
7200,19,2029
7200,20,2421
7200,21,2891
7200,22,3087
7200,23,2608
7200,24,1837
7200,25,920
7200,26,367
7200,27,100
7200,28,22
7200,29,5
7200,31,1
7300,9,1
7300,10,2
7300,11,208
7300,12,407
7300,13,619
7300,14,822
7300,15,1045
7300,16,1312
7300,17,1390
7300,18,1734
7300,19,2009
7300,20,2433
7300,21,2827
7300,22,2965
7300,23,2527
7300,24,1764
7300,25,889
7300,26,342
7300,27,102
7300,28,12
7300,29,1
7300,34,1
7400,10,9
7400,11,174
7400,12,423
7400,13,603
7400,14,826
7400,15,1057
7400,16,1285
7400,17,1416
7400,18,1596
7400,19,1972
7400,20,2350
7400,21,2798
7400,22,2873
7400,23,2495
7400,24,1670
7400,25,942
7400,26,343
7400,27,85
7400,28,14
7400,29,4
7500,10,6
7500,11,180
7500,12,409
7500,13,567
7500,14,783
7500,15,980
7500,16,1247
7500,17,1358
7500,18,1614
7500,19,1934
7500,20,2339
7500,21,2720
7500,22,2821
7500,23,2476
7500,24,1630
7500,25,939
7500,26,347
7500,27,87
7500,28,18
7500,29,4
7500,30,1
7600,9,4
7600,10,7
7600,11,165
7600,12,422
7600,13,580
7600,14,715
7600,15,938
7600,16,1189
7600,17,1350
7600,18,1554
7600,19,1876
7600,20,2321
7600,21,2743
7600,22,2764
7600,23,2417
7600,24,1607
7600,25,839
7600,26,330
7600,27,84
7600,28,11
7600,29,3
7600,30,1
7600,31,1
7600,32,1
7700,9,2
7700,10,3
7700,11,161
7700,12,437
7700,13,587
7700,14,759
7700,15,961
7700,16,1118
7700,17,1320
7700,18,1614
7700,19,1823
7700,20,2271
7700,21,2599
7700,22,2863
7700,23,2349
7700,24,1664
7700,25,861
7700,26,395
7700,27,76
7700,28,14
7700,29,6
7800,9,2
7800,10,7
7800,11,187
7800,12,396
7800,13,550
7800,14,709
7800,15,942
7800,16,1171
7800,17,1376
7800,18,1559
7800,19,1866
7800,20,2218
7800,21,2547
7800,22,2709
7800,23,2332
7800,24,1598
7800,25,810
7800,26,302
7800,27,92
7800,28,11
7800,29,5
7800,30,1
7800,31,1
7900,9,2
7900,10,7
7900,11,165
7900,12,386
7900,13,542
7900,14,712
7900,15,897
7900,16,1100
7900,17,1387
7900,18,1439
7900,19,1735
7900,20,2193
7900,21,2515
7900,22,2602
7900,23,2349
7900,24,1560
7900,25,833
7900,26,295
7900,27,68
7900,28,17
7900,30,2
7900,31,1
8000,10,3
8000,11,149
8000,12,355
8000,13,551
8000,14,632
8000,15,881
8000,16,1074
8000,17,1265
8000,18,1473
8000,19,1730
8000,20,2237
8000,21,2501
8000,22,2740
8000,23,2275
8000,24,1569
8000,25,831
8000,26,263
8000,27,76
8000,28,15
8000,29,2
8000,30,2
8100,9,1
8100,10,4
8100,11,149
8100,12,375
8100,13,556
8100,14,690
8100,15,850
8100,16,1088
8100,17,1260
8100,18,1392
8100,19,1723
8100,20,2129
8100,21,2515
8100,22,2622
8100,23,2217
8100,24,1446
8100,25,729
8100,26,270
8100,27,75
8100,28,14
8100,29,2
8200,9,1
8200,10,5
8200,11,148
8200,12,365
8200,13,510
8200,14,682
8200,15,849
8200,16,1061
8200,17,1229
8200,18,1430
8200,19,1756
8200,20,2163
8200,21,2360
8200,22,2447
8200,23,2177
8200,24,1441
8200,25,818
8200,26,257
